Timestamp,Filename,ExpTime_s,Stacks,Sky_mag_arcsec2,Seeing_FWHM_arcsec,K_Const,Est_Limit_Mag_1Fr,Est_Limit_Mag_Stack,Stars,Confidence,Airmass,Altitude
2026-04-22 06:08:08,NE_20260421_001_2026-04-21_22-21-57_2x2_60.00s_0028.fits,60.0,30,18.84,5.51,7.6,17.39,19.24,75,MEDIUM,1.057,N/A
2026-04-22 06:26:48,NE_20260421_002_2026-04-21_23-46-19_2x2_60.00s_0103.fits,60.0,30,18.77,4.43,7.6,17.59,19.44,81,MEDIUM,1.050,N/A
2026-04-22 06:36:55,NE_20260421_002_2026-04-21_23-45-16_2x2_60.00s_0102.fits,60.0,30,18.78,4.66,7.6,17.54,19.39,83,MEDIUM,1.049,N/A
2026-04-22 06:40:11,NE_20260421_003_2026-04-22_01-29-09_2x2_60.00s_0197.fits,60.0,30,18.49,4.99,7.6,17.32,19.17,73,MEDIUM,1.263,N/A
2026-04-22 06:41:43,NE_20260421_003_2026-04-22_01-55-05_2x2_60.00s_0221.fits,60.0,30,18.49,4.68,7.6,17.39,19.24,66,MEDIUM,1.382,N/A
2026-04-22 06:44:06,NE_20260421_004_2026-04-22_03-06-25_2x2_60.00s_0286.fits,60.0,30,17.73,5.92,7.6,16.76,18.60,42,MEDIUM,2.009,N/A
2026-04-23 05:56:29,HI_20260422_001_2026-04-22_21-44-16_2x2_60.00s_0001.fits,60.0,30,18.96,4.39,7.6,17.69,19.54,97,MEDIUM,1.157,N/A
2026-04-23 06:00:11,HI_20260422_002_2026-04-22_23-26-12_2x2_60.00s_0094.fits,60.0,30,19.20,4.55,7.6,17.78,19.63,100,HIGH,1.049,N/A
2026-04-23 06:13:25,HI_20260422_003_2026-04-23_01-11-28_2x2_60.00s_0188.fits,60.0,30,18.94,4.82,7.6,17.58,19.43,134,HIGH,1.015,N/A
2026-04-23 06:16:17,HI_20260422_004_2026-04-23_02-49-10_2x2_60.00s_0277.fits,60.0,30,18.65,4.19,7.6,17.59,19.44,109,HIGH,1.141,N/A
